timestamp;Langeland - Thruster 1 [kW];Langeland - Thruster 2 [kW];Langeland - Thruster 3 [kW];Langeland - Thruster 4 [kW];Langeland - Lever Thruster 1 [%];Langeland - Lever Thruster 2 [%];Langeland - Lever Thruster 3 [%];Langeland - Lever Thruster 4 [%];Langeland - Actual RPM Thruster 1 [RPM];Langeland - Actual RPM Thruster 2 [RPM];Langeland - Actual RPM Thruster 3 [RPM];Langeland - Actual RPM Thruster 4 [RPM];Langeland - Angle Thruster 1 [Degrees];Langeland - Angle Thruster 2 [Degrees];Langeland - Angle Thruster 3 [Degrees];Langeland - Angle Thruster 4 [Degrees];Langeland - Power DG 1 [kW];Langeland - Power DG 2 [kW];Langeland - Power DG 3 [kW];Langeland - Power DG 4 [kW];Langeland - Power DG 5 [kW];Langeland - Total Power [kW];Langeland - Fuel DG 1 [l/h];Langeland - Fuel DG 2 [l/h];Langeland - Fuel DG 3 [l/h];Langeland - Fuel DG 4  [l/h];Langeland - Fuel DG 5 [l/h];Langeland - Shore Power 1 [kW];Langeland - Shore Power 2 [kW];Langeland - Track speed [Knots];Langeland - Autopilot [on/off]
27.10.2019 08:00;277;217;39;32;44;45;26;26;757;739;415;418;7;7;180;180;0;0;283;279;18;562;0;0;88;82;31;0;0;02.apr;0
27.10.2019 08:00;55;51;82;68;28;29;32;32;452;468;524;526;35;35;90;103;0;0;196;212;0;408;0;0;48;52;32;0;0;;0
27.10.2019 08:00;74;56;77;70;38;38;34;34;512;480;544;546;49;49;169;169;0;0;228;211;0;439;0;0;52;53;33;0;0;01.jan;0
27.10.2019 08:00;61;61;99;88;30;31;35;35;497;503;566;570;49;49;84;101;0;0;224;245;0;469;0;0;54;59;32;0;0;;0
27.10.2019 08:01;34;33;150;148;23;24;42;42;371;385;685;686;17;18;89;104;0;0;276;265;0;541;0;0;70;71;32;0;0;0.7;0
27.10.2019 08:01;89;87;169;168;35;35;44;44;567;577;714;709;100;82;105;105;0;0;346;349;0;695;0;0;83;85;32;0;0;;0
27.10.2019 08:01;89;79;187;184;35;35;45;45;565;571;731;729;100;82;105;104;0;0;363;368;0;731;0;0;88;90;32;0;0;0.4;0
27.10.2019 08:01;94;87;208;200;35;35;47;47;568;569;749;753;100;82;115;114;0;0;399;385;0;784;0;0;96;100;0;0;0;;0
27.10.2019 08:02;88;93;202;206;35;35;47;47;563;575;766;758;100;82;86;103;0;0;385;400;0;785;0;0;92;98;0;0;0;0.4;0
27.10.2019 08:02;93;93;195;207;35;35;47;47;564;572;753;759;100;82;101;82;0;0;385;383;0;768;0;0;94;97;0;0;0;;0
